person;acc;tp;tn;fp;fn;auc
1;0.6;0.275;0.325;0.175;0.225;0.640476190476
2;0.675;0.325;0.35;0.15;0.175;0.697916666667
3;0.55;0.225;0.325;0.175;0.275;0.612797619048
4;0.65;0.375;0.275;0.225;0.125;0.679166666667
5;0.65;0.4;0.25;0.25;0.1;0.642857142857
6;0.65;0.275;0.375;0.125;0.225;0.6625
7;0.5;0.25;0.25;0.275;0.225;0.50744047619
8;0.625;0.225;0.4;0.15;0.225;0.618154761905
9;0.775;0.375;0.4;0.1;0.125;0.806547619048
10;0.725;0.35;0.375;0.125;0.15;0.753869047619
11;0.7;0.4;0.3;0.2;0.1;0.7
12;0.625;0.2;0.425;0.1;0.275;0.639880952381
13;0.75;0.4;0.35;0.15;0.1;0.774702380952
14;0.75;0.4;0.35;0.15;0.1;0.7625
15;0.775;0.375;0.4;0.1;0.125;0.785416666667
16;0.575;0.275;0.3;0.2;0.225;0.690476190476
17;0.575;0.225;0.35;0.15;0.275;0.644345238095
18;0.775;0.375;0.4;0.1;0.125;0.795833333333
19;0.65;0.325;0.325;0.2;0.15;0.65
20;0.75;0.425;0.325;0.175;0.075;0.775
21;0.6;0.325;0.275;0.225;0.175;0.571726190476
22;0.65;0.3;0.35;0.15;0.2;0.666666666667
23;0.575;0.275;0.3;0.2;0.225;0.633630952381
24;0.6;0.3;0.3;0.2;0.2;0.595833333333
25;0.575;0.175;0.4;0.125;0.3;0.582589285714
26;0.6;0.3;0.3;0.2;0.2;0.636011904762
27;0.65;0.275;0.375;0.125;0.225;0.635714285714
28;0.575;0.3;0.275;0.225;0.2;0.5875
29;0.775;0.4;0.375;0.125;0.1;0.78125
30;0.675;0.3;0.375;0.15;0.175;0.684523809524
31;0.65;0.275;0.375;0.125;0.225;0.673511904762
32;0.725;0.35;0.375;0.125;0.15;0.733630952381
median: 0.65;0.3;0.35;0.15;0.1875;0.664583333333;
avg: 0.65546875;0.3140625;0.34140625;0.1640625;0.18046875;0.67570219494;
std: 0.0746696827597;0.0655319280485;0.0474380249477;0.0459013463174;0.0605103216273;0.0734111882124;
