method;Pearson R;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.6;0.6;0.5;0.9;0.9;0.6;
1;0.7;0.7;0.5;0.5;0.5;0.5;
2;0.8;0.8;0.7;0.7;0.7;0.8;
3;0.6;0.6;0.5;0.5;0.5;0.6;
4;0.8;0.7;0.6;0.6;0.6;0.2;
5;0.8;0.7;0.9;0.8;0.8;0.4;
6;0.9;0.9;0.7;0.4;0.4;0.5;
7;0.8;0.7;0.5;0.7;0.7;0.4;
8;1.0;1.0;0.6;0.9;0.9;0.7;
9;0.8;0.8;0.5;0.6;0.6;0.7;
10;0.7;0.8;0.7;0.6;0.6;0.5;
11;0.7;0.7;0.4;0.8;0.8;0.7;
12;0.6;0.6;0.5;0.8;0.8;0.8;
13;0.8;0.8;0.5;0.5;0.5;0.5;
14;0.6;0.6;0.4;0.8;0.8;0.8;
15;0.6;0.6;0.7;0.9;0.9;0.6;
16;0.7;0.7;0.5;0.9;0.9;0.5;
17;0.6;0.6;0.4;0.5;0.6;0.6;
18;0.6;0.6;0.5;0.5;0.5;0.6;
19;0.8;0.8;0.9;0.8;0.8;0.7;
20;0.5;0.5;0.7;0.7;0.7;0.7;
21;0.6;0.6;0.6;0.5;0.5;0.5;
22;0.7;0.7;0.6;0.9;0.9;0.9;
23;0.5;0.5;0.5;0.7;0.7;0.7;
24;0.4;0.5;0.3;0.7;0.7;0.8;
25;0.6;0.6;0.8;0.8;0.8;0.7;
26;0.7;0.7;0.7;0.6;0.6;0.5;
27;0.8;0.8;0.7;0.5;0.5;0.3;
28;0.6;0.6;0.6;1.0;1.0;0.5;
29;0.8;0.8;0.7;0.6;0.6;0.6;
30;0.5;0.5;0.5;0.5;0.5;0.7;
31;0.8;0.8;0.5;0.6;0.6;0.5;



method;Mutual Information;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.5;0.5;0.5;0.4;0.4;0.5;
1;0.5;0.6;0.6;0.5;0.5;0.5;
2;0.4;0.5;0.4;0.8;0.8;0.7;
3;0.6;0.5;0.6;0.5;0.6;0.7;
4;0.9;0.5;0.6;0.3;0.7;0.5;
5;0.9;0.7;0.9;0.5;0.3;0.7;
6;0.7;0.7;0.7;0.4;0.4;0.5;
7;0.3;0.4;0.3;0.6;0.7;0.6;
8;0.7;0.7;0.7;0.4;0.4;0.6;
9;0.7;0.8;0.5;0.4;0.5;0.7;
10;0.8;0.6;0.6;0.6;0.6;0.5;
11;0.6;0.5;0.1;0.7;0.7;0.7;
12;0.5;0.5;0.4;0.8;0.8;0.8;
13;0.6;0.7;0.5;0.5;0.5;0.5;
14;0.6;0.4;0.4;0.8;0.5;0.8;
15;0.6;0.7;0.4;0.5;0.3;0.5;
16;0.5;0.5;0.5;0.4;0.4;0.4;
17;0.6;0.3;0.7;0.6;0.5;0.6;
18;0.6;0.5;0.4;0.6;0.6;0.6;
19;0.5;0.8;0.7;0.7;0.7;0.7;
20;0.4;0.5;0.6;0.7;0.7;0.7;
21;0.5;0.6;0.3;0.6;0.5;0.6;
22;0.6;0.5;0.8;1.0;1.0;1.0;
23;0.5;0.4;0.6;0.7;0.7;0.7;
24;0.3;0.3;0.5;0.8;0.8;0.8;
25;0.7;0.7;0.8;0.6;0.3;0.6;
26;0.7;0.6;0.6;0.6;0.6;0.6;
27;0.7;0.4;0.6;0.2;0.4;0.5;
28;0.6;0.6;0.6;0.5;0.4;0.6;
29;0.6;0.5;0.7;0.7;0.4;0.6;
30;0.5;0.7;0.6;0.5;0.4;0.6;
31;0.4;0.5;0.5;0.4;0.5;0.5;



method;distance Correlation;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.6;0.6;0.5;0.7;0.7;0.5;
1;0.7;0.7;0.4;0.6;0.6;0.6;
2;0.8;0.8;0.8;0.8;0.8;0.8;
3;0.7;0.7;0.5;0.7;0.7;0.6;
4;0.6;0.6;0.5;0.7;0.7;0.2;
5;0.9;0.9;0.9;0.8;0.8;0.6;
6;0.6;0.6;0.7;0.8;0.5;0.5;
7;0.7;0.7;0.6;0.7;0.7;0.6;
8;1.0;1.0;0.6;0.6;0.6;0.7;
9;0.8;0.8;0.6;0.7;0.7;0.8;
10;0.6;0.8;0.7;0.5;0.5;0.5;
11;0.7;0.7;0.3;0.7;0.7;0.7;
12;0.6;0.6;0.5;0.8;0.8;0.8;
13;0.8;0.8;0.5;0.6;0.6;0.5;
14;0.6;0.6;0.4;0.9;0.9;0.8;
15;0.7;0.7;0.6;0.9;0.9;0.6;
16;0.7;0.7;0.4;0.9;0.9;0.5;
17;0.4;0.4;0.3;0.6;0.5;0.7;
18;0.6;0.6;0.5;0.5;0.5;0.6;
19;0.8;0.8;0.7;0.7;0.7;0.7;
20;0.5;0.5;0.7;0.7;0.7;0.7;
21;0.6;0.6;0.3;0.7;0.7;0.6;
22;0.5;0.6;0.9;1.0;1.0;1.0;
23;0.7;0.5;0.5;0.7;0.7;0.7;
24;0.4;0.6;0.3;0.7;0.7;0.6;
25;0.7;0.7;0.8;0.8;0.8;0.6;
26;0.7;0.7;0.8;0.7;0.7;0.4;
27;0.8;0.8;0.6;0.6;0.8;0.4;
28;0.7;0.7;0.7;0.8;0.8;0.5;
29;0.6;0.6;0.7;0.6;0.5;0.6;
30;0.5;0.5;0.4;0.7;0.7;0.7;
31;0.8;0.8;0.5;0.5;0.5;0.5;



method;Linear Regression;
;valence;;;arousal;;;
person;all;EEG;non-EEG;all;EEG;non-EEG;
0;0.8;0.7;0.8;0.7;0.7;0.5;
1;0.4;0.5;0.7;0.6;0.3;0.5;
2;0.7;0.7;0.3;0.7;0.7;0.8;
3;0.5;0.3;0.5;0.5;0.5;0.6;
4;0.5;0.7;0.6;0.5;0.8;0.4;
5;0.6;0.5;0.9;0.8;0.7;0.4;
6;0.7;0.7;0.7;0.5;0.4;0.4;
7;0.5;0.6;0.6;0.8;0.6;0.5;
8;0.5;0.5;0.7;0.8;0.8;0.6;
9;0.6;0.6;0.7;0.9;0.9;0.8;
10;0.7;0.6;0.8;0.5;0.5;0.4;
11;0.6;0.5;0.3;0.7;0.7;0.7;
12;0.5;0.4;0.4;0.8;0.8;0.8;
13;0.5;0.5;0.4;0.5;0.5;0.5;
14;0.4;0.5;0.5;0.6;0.3;0.5;
15;0.8;0.8;0.4;0.6;0.5;0.3;
