person;channel pairs;acc;tpr;tnr;fpr;fnr;auc
1;4.0;0.6;0.4;0.8;0.2;0.6;0.6
2;15.0;0.6;0.666666666667;0.5;0.333333333333;0.5;0.583333333333
3;13.0;0.4;0.333333333333;0.5;0.333333333333;1.0;0.416666666667
4;8.0;0.8;0.75;0.833333333333;0.25;0.166666666667;0.791666666667
5;10.0;0.6;0.833333333333;0.25;0.5;0.25;0.541666666667
6;1.0;0.7;0.75;0.5;0.125;1.0;0.625
7;1.0;0.6;0.714285714286;0.333333333333;0.285714285714;0.666666666667;0.52380952381
8;14.0;0.8;1.0;0.5;0.333333333333;0.0;0.75
9;1.0;0.7;0.6;0.8;0.2;0.4;0.7
10;6.0;0.5;0.2;0.8;0.2;0.8;0.5
11;2.0;0.6;0.666666666667;0.5;0.333333333333;0.5;0.583333333333
12;6.0;0.6;0.6;0.6;0.4;0.4;0.6
13;2.0;0.7;0.75;0.666666666667;0.5;0.166666666667;0.708333333333
14;13.0;0.9;1.0;0.8;0.2;0.0;0.9
15;1.0;0.4;0.4;0.4;0.6;0.6;0.4
16;2.0;0.4;0.25;0.5;0.75;0.5;0.375
17;14.0;0.8;0.833333333333;0.75;0.166666666667;0.25;0.791666666667
18;11.0;0.6;0.666666666667;0.5;0.333333333333;0.5;0.583333333333
19;5.0;0.7;1.0;0.25;0.5;0.0;0.625
20;1.0;0.6;0.833333333333;0.25;0.5;0.25;0.541666666667
21;11.0;0.3;0.4;0.2;0.8;0.6;0.3
22;14.0;0.6;0.5;0.666666666667;0.5;0.333333333333;0.583333333333
23;1.0;0.7;0.833333333333;0.5;0.333333333333;0.25;0.666666666667
24;14.0;0.7;0.5;0.833333333333;0.25;0.333333333333;0.666666666667
25;6.0;0.7;0.6;0.8;0.2;0.4;0.7
26;14.0;0.6;0.333333333333;1.0;0.0;1.0;0.666666666667
27;3.0;0.8;1.0;0.0;0.25;0.0;0.5
28;8.0;0.4;0.166666666667;0.75;0.166666666667;1.25;0.458333333333
29;7.0;0.6;0.5;0.75;0.166666666667;0.75;0.625
30;4.0;0.5;0.428571428571;0.666666666667;0.142857142857;1.33333333333;0.547619047619
31;8.0;0.5;0.333333333333;0.75;0.166666666667;1.0;0.541666666667
32;4.0;0.6;0.6;0.6;0.4;0.4;0.6

median;6.0;0.6;0.6;0.6;0.309523809524;0.45;0.591666666667;
avg;7.0;0.6125;0.607589285714;0.5796875;0.325632440476;0.50625;0.593638392857;
std;4.8925964477;0.136358901433;0.238014448719;0.226221007005;0.178734792431;0.355041810918;0.125722335183;
