Metric: 1;
featureCount;featureAdded;train;test;
1;PSD Oz(theta);0.533333333333;0.491666666667;
2;PSD F3(theta);0.533333333333;0.491666666667;
3;DE F3(theta);0.858333333333;0.5;
4;PSD O1(theta);0.858333333333;0.5;
5;DCAU FC1,CP1;1.0;0.508333333333;
6;PSD P8(alpha);1.0;0.525;
7;DASM FC1,FC2;0.995833333333;0.5;
8;DE P8(alpha);1.0;0.466666666667;
9;DE P8(delta);0.991666666667;0.483333333333;
10;PSD FC6(theta);1.0;0.508333333333;
11;PSD F7(theta);1.0;0.466666666667;
12;PSD P8(delta);0.995833333333;0.541666666667;
13;PSD P8(gamma);0.995833333333;0.525;
14;DASM FC1,FC2;1.0;0.508333333333;
15;DCAU FC6,CP6;1.0;0.533333333333;
16;PSD P8(beta);1.0;0.525;
17;DE P8(beta);1.0;0.483333333333;
18;DCAU FC1,CP1;1.0;0.458333333333;
19;DCAU FC1,CP1;1.0;0.45;
20;DASM FC1,FC2;1.0;0.525;


Metric: 2;
featureCount;featureAdded;train;test;
1;DE O1(alpha);0.9875;0.458333333333;
2;RCAU Fp1,O1;1.0;0.491666666667;
3;DCAU Fp1,O1;0.995833333333;0.491666666667;
4;DE F3(theta);0.9875;0.466666666667;
5;PSD AF4(theta);1.0;0.491666666667;
6;DE O1(theta);1.0;0.491666666667;
7;avg GSR;1.0;0.516666666667;
8;DE O1(beta);0.995833333333;0.491666666667;
9;DE O1(delta);0.991666666667;0.491666666667;
10;RCAU Fp1,O1;1.0;0.5;
11;PSD Fz(delta);1.0;0.483333333333;
12;DCAU Fp1,O1;0.995833333333;0.483333333333;
13;RCAU FC5,CP5;1.0;0.45;
14;A/B CP5;0.995833333333;0.5;
15;DE O2(theta);1.0;0.475;
16;PSD FC1(theta);1.0;0.491666666667;
17;DE P8(alpha);0.995833333333;0.55;
18;PSD O2(theta);1.0;0.408333333333;
19;DE AF4(alpha);0.995833333333;0.491666666667;
20;RCAU Fp1,O1;1.0;0.45;


Metric: 3;
featureCount;featureAdded;train;test;
1;DE Fz(theta);0.954166666667;0.491666666667;
2;PSD CP1(theta);0.958333333333;0.491666666667;
3;PSD F3(theta);0.9625;0.491666666667;
4;PSD O1(alpha);1.0;0.491666666667;
5;DE F3(theta);1.0;0.491666666667;
6;DCAU Fp1,O1;1.0;0.491666666667;
7;DE O2(theta);1.0;0.483333333333;
8;DCAU Fp1,O1;0.995833333333;0.516666666667;
9;DE O1(alpha);1.0;0.491666666667;
10;DE CP2(theta);1.0;0.491666666667;
11;DCAU Fp1,O1;1.0;0.491666666667;
12;avg GSR;0.995833333333;0.491666666667;
13;PSD Oz(theta);0.995833333333;0.483333333333;
14;RCAU Fp1,O1;1.0;0.508333333333;
15;DE P8(alpha);0.995833333333;0.475;
16;PSD O1(delta);1.0;0.483333333333;
17;PSD P8(alpha);1.0;0.483333333333;
18;DE P8(delta);0.995833333333;0.491666666667;
19;RCAU Fp1,O1;1.0;0.491666666667;
20;DE P8(beta);1.0;0.508333333333;


Metric: 4;
featureCount;featureAdded;train;test;
1;DASM C3,C4;0.991666666667;0.425;
2;PSD Oz(theta);0.995833333333;0.425;
3;DE P8(gamma);0.995833333333;0.491666666667;
4;PSD P8(gamma);1.0;0.5;
5;PSD F4(theta);1.0;0.508333333333;
6;PSD O1(theta);1.0;0.5;
7;DE PO4(theta);0.995833333333;0.533333333333;
8;A/B FC1;1.0;0.5;
9;A/B P8;1.0;0.483333333333;
10;PSD T8(theta);1.0;0.483333333333;
11;RASM F7,F8;0.995833333333;0.508333333333;
12;PSD CP1(gamma);1.0;0.5;
13;PSD CP6(theta);1.0;0.483333333333;
14;PSD FC5(theta);1.0;0.508333333333;
15;PSD CP2(gamma);1.0;0.466666666667;
16;A/B Oz;0.995833333333;0.441666666667;
17;PSD FC1(gamma);1.0;0.516666666667;
18;PSD P7(gamma);1.0;0.508333333333;
19;PSD FC6(theta);1.0;0.533333333333;
20;PSD PO4(theta);1.0;0.525;


Metric: 5;
featureCount;featureAdded;train;test;
1;DE P8(gamma);0.983333333333;0.6;
2;DE PO4(theta);1.0;0.575;
3;A/B F7;0.995833333333;0.541666666667;
4;PSD CP6(theta);1.0;0.516666666667;
5;PSD P7(gamma);1.0;0.475;
6;DCAU FC6,CP6;1.0;0.508333333333;
7;RCAU F8,P8;1.0;0.491666666667;
8;A/B AF4;1.0;0.466666666667;
9;PSD Pz(gamma);0.995833333333;0.533333333333;
10;DE PO4(gamma);1.0;0.441666666667;
11;DE CP1(gamma);0.995833333333;0.466666666667;
12;PSD T8(theta);1.0;0.533333333333;
13;PSD Oz(theta);1.0;0.466666666667;
14;PSD O1(theta);1.0;0.491666666667;
15;DE FC6(gamma);1.0;0.458333333333;
16;PSD FC1(gamma);1.0;0.458333333333;
17;PSD O2(alpha);0.995833333333;0.483333333333;
18;PSD F4(theta);1.0;0.475;
19;PSD Cz(alpha);1.0;0.483333333333;
20;A/B FC1;1.0;0.475;


Metric: 6;
featureCount;featureAdded;train;test;
1;DASM C3,C4;0.995833333333;0.416666666667;
2;PSD Oz(theta);0.983333333333;0.408333333333;
3;DE P8(gamma);0.995833333333;0.5;
4;PSD P8(gamma);1.0;0.525;
