number of features;train_err;test_err;
10;0.56328125;0.7490234375;
11;0.56484375;0.75859375;
12;0.57109375;0.76328125;
13;0.57265625;0.76640625;
14;0.58046875;0.7630859375;
15;0.58125;0.762890625;
16;0.5703125;0.7607421875;
17;0.56875;0.759765625;
18;0.565625;0.762109375;
19;0.57109375;0.76171875;
20;0.57109375;0.7646484375;
21;0.57265625;0.765625;
22;0.56953125;0.7541015625;
23;0.57421875;0.7642578125;
24;0.56953125;0.761328125;
25;0.5703125;0.7578125;
26;0.57421875;0.7580078125;
27;0.56796875;0.758984375;
28;0.56796875;0.7568359375;
29;0.56640625;0.763671875;
30;0.56953125;0.763671875;


best accs obtained for each person
person;train_err;test_err;
1;0.625;0.74375;
2;0.6;0.73125;
3;0.575;0.79375;
4;0.525;0.75;
5;0.8;0.88125;
6;0.825;0.8375;
7;0.65;0.81875;
8;0.725;0.8;
9;0.575;0.80625;
10;0.575;0.7;
11;0.7;0.825;
12;0.525;0.75;
13;0.575;0.73125;
14;0.7;0.85;
15;0.7;0.80625;
16;0.6;0.80625;
17;0.625;0.775;
18;0.45;0.73125;
19;0.5;0.775;
20;0.625;0.825;
21;0.575;0.79375;
22;0.625;0.75625;
23;0.7;0.76875;
24;0.725;0.85625;
25;0.6;0.78125;
26;0.625;0.8375;
27;0.75;0.8625;
28;0.6;0.8;
29;0.65;0.81875;
30;0.675;0.78125;
31;0.575;0.71875;
32;0.65;0.85625;
