number of features;train_pearson;train_lr;train_l1;train_l2;train_svm;train_rf;train_pca;test_pearson;test_lr;test_l1;test_l2;test_svm;test_rf;test_pca
1;0.6716796875;0.6380859375;0.6716796875;0.6380859375;0.6517578125;0.6716796875;0.6623046875;0.58671875;0.54296875;0.58671875;0.54296875;0.55078125;0.58671875;0.57578125;
2;0.6771484375;0.6875;0.7216796875;0.6875;0.6693359375;0.719140625;0.683203125;0.58359375;0.5625;0.596875;0.5625;0.54375;0.58125;0.56484375;
3;0.709765625;0.740234375;0.755078125;0.740234375;0.706640625;0.7578125;0.7126953125;0.578125;0.56875;0.60078125;0.56875;0.53203125;0.5703125;0.56015625;
4;0.7599609375;0.7609375;0.7810546875;0.7609375;0.7515625;0.7822265625;0.7224609375;0.5828125;0.57890625;0.59609375;0.57890625;0.55625;0.571875;0.55859375;
5;0.754296875;0.7845703125;0.8111328125;0.7845703125;0.759765625;0.7794921875;0.738671875;0.578125;0.58046875;0.603125;0.58046875;0.5625;0.57890625;0.565625;
6;0.7724609375;0.7875;0.8171875;0.7875;0.7732421875;0.794140625;0.744921875;0.56875;0.5875;0.590625;0.5875;0.55703125;0.59296875;0.565625;
7;0.7916015625;0.8224609375;0.8322265625;0.8224609375;0.798828125;0.8044921875;0.752734375;0.58828125;0.60234375;0.59765625;0.60234375;0.5765625;0.5984375;0.56484375;
8;0.7970703125;0.8244140625;0.8533203125;0.8244140625;0.8025390625;0.80859375;0.75703125;0.5875;0.5921875;0.5921875;0.5921875;0.5828125;0.60234375;0.5625;
9;0.801171875;0.8197265625;0.85546875;0.8197265625;0.819921875;0.8083984375;0.761328125;0.59765625;0.58203125;0.60234375;0.58203125;0.5703125;0.596875;0.5609375;
10;0.80703125;0.8228515625;0.8517578125;0.8228515625;0.8228515625;0.80703125;0.7611328125;0.60390625;0.58359375;0.596875;0.58359375;0.58359375;0.596875;0.56796875;
11;0.805078125;0.8400390625;0.8720703125;0.8400390625;0.8205078125;0.81328125;0.7662109375;0.60390625;0.58203125;0.59453125;0.58203125;0.58359375;0.5984375;0.5765625;
12;0.80078125;0.8333984375;0.8787109375;0.8333984375;0.8369140625;0.815625;0.772265625;0.5953125;0.5828125;0.6;0.5828125;0.57890625;0.60703125;0.57265625;
13;0.80625;0.845703125;0.877734375;0.845703125;0.8390625;0.8208984375;0.7732421875;0.60078125;0.58671875;0.6;0.58671875;0.58046875;0.60703125;0.5703125;
14;0.8080078125;0.84453125;0.8724609375;0.84453125;0.8359375;0.826953125;0.77421875;0.60234375;0.58046875;0.59453125;0.58046875;0.57890625;0.61328125;0.5796875;
15;0.8142578125;0.840625;0.869921875;0.840625;0.837109375;0.8251953125;0.775;0.6;0.58125;0.5953125;0.58125;0.575;0.60390625;0.57421875;
16;0.8181640625;0.8431640625;0.8654296875;0.8431640625;0.8337890625;0.8330078125;0.773828125;0.60078125;0.57890625;0.58828125;0.57890625;0.57578125;0.60234375;0.57890625;
17;0.8208984375;0.8396484375;0.8703125;0.8396484375;0.8357421875;0.8333984375;0.7755859375;0.6015625;0.57578125;0.58984375;0.57578125;0.57109375;0.603125;0.58203125;
18;0.82265625;0.8462890625;0.865625;0.8462890625;0.8392578125;0.832421875;0.7783203125;0.59375;0.57734375;0.5859375;0.57734375;0.56953125;0.60546875;0.58125;
19;0.823828125;0.8490234375;0.867578125;0.8490234375;0.841015625;0.8298828125;0.778515625;0.5921875;0.578125;0.5921875;0.578125;0.5671875;0.60546875;0.58125;
