number of features;pearson;lr;l1;l2;svm;rf
1;0.6765625;0.628125;0.6765625;0.628125;0.628125;0.6765625;
2;0.7046875;0.6734375;0.6921875;0.6734375;0.646875;0.71328125;
3;0.7359375;0.67734375;0.72265625;0.67734375;0.68046875;0.75;
4;0.7359375;0.71484375;0.75;0.71484375;0.740625;0.7515625;
5;0.7421875;0.71171875;0.7671875;0.71171875;0.7328125;0.75546875;
6;0.7359375;0.74609375;0.79296875;0.74609375;0.75546875;0.75703125;
7;0.7484375;0.74609375;0.79609375;0.74609375;0.75546875;0.759375;
8;0.7578125;0.746875;0.83125;0.746875;0.7921875;0.78125;
9;0.75078125;0.75390625;0.83671875;0.75390625;0.8046875;0.78046875;
10;0.76484375;0.77578125;0.8359375;0.77578125;0.803125;0.79140625;
11;0.771875;0.79375;0.84609375;0.79375;0.80078125;0.79609375;
12;0.7796875;0.803125;0.85234375;0.803125;0.8078125;0.80546875;
13;0.77734375;0.81953125;0.84765625;0.81953125;0.81328125;0.803125;
14;0.78046875;0.8265625;0.8515625;0.8265625;0.83125;0.80234375;
15;0.7796875;0.8375;0.86171875;0.8375;0.82890625;0.8046875;
16;0.78828125;0.834375;0.875;0.834375;0.83515625;0.80625;
17;0.7875;0.84765625;0.875;0.834375;0.84140625;0.82109375;
18;0.78828125;0.84765625;0.875;0.84765625;0.8421875;0.8125;
19;0.79375;0.853125;0.87109375;0.853125;0.84921875;0.8171875;
20;0.790625;0.8546875;0.875;0.8546875;0.8484375;0.8171875;
21;0.79453125;0.86328125;0.87734375;0.86328125;0.84921875;0.81796875;
22;0.7953125;0.86953125;0.8828125;0.86953125;0.8609375;0.8125;
23;0.7921875;0.86875;0.884375;0.86875;0.865625;0.8140625;
24;0.7953125;0.878125;0.8828125;0.878125;0.87421875;0.81484375;
25;0.7984375;0.88515625;0.88203125;0.88515625;0.87578125;0.81328125;
26;0.80390625;0.8921875;0.8875;0.88515625;0.88046875;0.8109375;
27;0.803125;0.89140625;0.89296875;0.89140625;0.89296875;0.8171875;
28;0.80859375;0.89296875;0.89921875;0.89296875;0.89609375;0.8171875;
29;0.80390625;0.8984375;0.903125;0.8984375;0.8984375;0.81328125;
30;0.809375;0.8953125;0.9078125;0.8953125;0.89921875;0.81171875;


best accs obtained for each personperson;pearson;lr;l1;l2;svm;rf
1;0.95;0.975;0.925;0.975;0.95;0.95;
2;0.875;0.8;0.825;0.8;0.875;0.85;
3;0.9;0.775;0.9;0.775;0.95;0.85;
4;0.75;0.75;0.775;0.75;0.8;0.8;
5;0.85;0.925;0.95;0.9;0.925;0.9;
6;0.75;0.8;0.775;0.8;0.825;0.775;
7;0.825;0.8;0.8;0.8;0.85;0.775;
8;0.95;0.925;0.925;0.925;0.925;0.875;
9;0.9;0.925;0.9;0.925;0.9;0.875;
10;0.825;0.85;0.925;0.85;0.925;0.875;
11;0.9;1.0;0.925;1.0;1.0;0.9;
12;0.825;0.925;0.925;0.925;0.95;0.85;
13;0.9;0.925;1.0;0.925;0.875;0.95;
14;0.85;0.975;0.95;0.975;0.95;0.875;
15;0.875;0.975;0.975;0.975;0.975;0.875;
16;0.725;0.925;0.95;0.925;0.9;0.825;
17;0.875;0.975;0.925;0.975;0.975;0.875;
18;0.85;0.875;0.875;0.875;1.0;0.85;
19;0.85;0.975;0.975;0.975;0.975;0.85;
20;0.875;0.925;1.0;0.925;0.9;0.925;
21;0.725;0.9;0.925;0.9;0.95;0.825;
22;0.825;0.9;0.925;0.9;0.925;0.925;
23;0.675;0.825;0.9;0.825;0.9;0.725;
24;0.825;0.975;0.975;0.975;0.95;0.775;
25;0.7;0.975;0.975;0.975;0.95;0.775;
26;0.7;0.925;0.9;0.925;0.925;0.75;
27;0.85;0.875;0.9;0.875;0.825;0.825;
28;0.825;0.85;0.9;0.85;0.825;0.8;
29;0.925;0.925;0.975;0.925;0.925;0.95;
30;0.725;0.925;0.925;0.925;0.875;0.775;
31;0.775;0.975;1.0;0.975;0.85;0.825;
32;0.825;1.0;1.0;1.0;0.975;0.925;
