number of features;train_pearson;train_lr;train_l1;train_l2;train_svm;train_rf;test_pearson;test_lr;test_l1;test_l2;test_svm;test_rf;
1;0.6900390625;0.6435546875;0.6900390625;0.6435546875;0.6435546875;0.6900390625;0.50546875;0.44921875;0.50546875;0.44921875;0.44921875;0.50546875;
2;0.72421875;0.679296875;0.69765625;0.679296875;0.661328125;0.7265625;0.49609375;0.45390625;0.49921875;0.45390625;0.428125;0.4984375;
3;0.7517578125;0.6958984375;0.739453125;0.6958984375;0.69453125;0.7580078125;0.49375;0.45390625;0.52421875;0.45390625;0.45234375;0.5109375;
4;0.7478515625;0.7193359375;0.7669921875;0.7193359375;0.7400390625;0.76328125;0.49765625;0.46484375;0.51640625;0.46484375;0.4671875;0.50390625;
5;0.7578125;0.7228515625;0.7845703125;0.7228515625;0.743359375;0.7619140625;0.48515625;0.46171875;0.48671875;0.46171875;0.46328125;0.50234375;
6;0.7630859375;0.759375;0.798828125;0.759375;0.7572265625;0.77109375;0.48671875;0.46953125;0.490625;0.46953125;0.4703125;0.5140625;
7;0.7666015625;0.758984375;0.8125;0.758984375;0.759375;0.7755859375;0.4890625;0.4671875;0.50703125;0.4671875;0.46484375;0.50546875;
8;0.7724609375;0.7625;0.83046875;0.7625;0.79375;0.7921875;0.48515625;0.4703125;0.51015625;0.4703125;0.46953125;0.50390625;
9;0.7712890625;0.7654296875;0.8400390625;0.7654296875;0.80859375;0.793359375;0.48671875;0.4703125;0.50703125;0.4703125;0.47421875;0.51484375;
10;0.7796875;0.781640625;0.8412109375;0.781640625;0.8064453125;0.7966796875;0.4953125;0.47421875;0.50234375;0.47421875;0.4828125;0.50859375;
11;0.7810546875;0.8021484375;0.8501953125;0.8021484375;0.80234375;0.8029296875;0.50625;0.475;0.49765625;0.475;0.47421875;0.51640625;
12;0.782421875;0.80703125;0.853125;0.80703125;0.8044921875;0.8044921875;0.5;0.4703125;0.49765625;0.4703125;0.46484375;0.50625;
13;0.783984375;0.8189453125;0.8505859375;0.8189453125;0.8173828125;0.80390625;0.50234375;0.47578125;0.5;0.47578125;0.46796875;0.51171875;
14;0.7861328125;0.828515625;0.8548828125;0.828515625;0.831640625;0.8048828125;0.503125;0.478125;0.50859375;0.478125;0.484375;0.5046875;
15;0.786328125;0.841015625;0.8642578125;0.841015625;0.8302734375;0.8033203125;0.50390625;0.484375;0.50625;0.484375;0.48125;0.503125;
16;0.7904296875;0.8416015625;0.871484375;0.8416015625;0.8345703125;0.805078125;0.50234375;0.4953125;0.50546875;0.4953125;0.4734375;0.5078125;
17;0.7904296875;0.8486328125;0.87265625;0.8421875;0.8376953125;0.8107421875;0.49765625;0.49609375;0.496875;0.4859375;0.475;0.5078125;
18;0.79375;0.85;0.876171875;0.85;0.83671875;0.809375;0.50078125;0.4875;0.496875;0.4875;0.471875;0.51171875;
19;0.7986328125;0.8583984375;0.872265625;0.8583984375;0.8396484375;0.8140625;0.5015625;0.48828125;0.496875;0.48828125;0.4703125;0.50859375;
20;0.7947265625;0.8591796875;0.8775390625;0.8591796875;0.844140625;0.8158203125;0.49765625;0.48203125;0.49296875;0.48203125;0.471875;0.5109375;
21;0.7955078125;0.86328125;0.880859375;0.86328125;0.8505859375;0.81328125;0.49375;0.47734375;0.49765625;0.47734375;0.47421875;0.51171875;
22;0.7982421875;0.86796875;0.8845703125;0.86796875;0.8609375;0.816015625;0.49921875;0.4734375;0.49765625;0.4734375;0.48046875;0.509375;
23;0.7986328125;0.8744140625;0.8828125;0.8744140625;0.8599609375;0.8123046875;0.49453125;0.48203125;0.49453125;0.48203125;0.47578125;0.5078125;
24;0.80078125;0.879296875;0.88203125;0.879296875;0.8625;0.813671875;0.4984375;0.48515625;0.4875;0.48515625;0.48515625;0.5078125;
25;0.7994140625;0.8861328125;0.8814453125;0.8861328125;0.86796875;0.809375;0.5046875;0.47578125;0.4890625;0.47578125;0.47734375;0.50078125;
26;0.806640625;0.8869140625;0.884375;0.8869140625;0.873046875;0.8099609375;0.49296875;0.47421875;0.48984375;0.48046875;0.475;0.50703125;
27;0.8037109375;0.8892578125;0.8900390625;0.8892578125;0.8791015625;0.812109375;0.49140625;0.4796875;0.484375;0.4796875;0.475;0.50703125;
28;0.8052734375;0.88984375;0.89375;0.88984375;0.8837890625;0.8123046875;0.490625;0.47734375;0.48125;0.47734375;0.48125;0.50390625;
29;0.8078125;0.890234375;0.8978515625;0.890234375;0.8861328125;0.8107421875;0.4953125;0.475;0.4828125;0.475;0.47734375;0.5046875;
