what,feat set,index,metric,frac,power,asym,HR,GSR,RSP,BP,Skin Temp
arousal,ALL,1,pearsonR,14,25,65,0,1,0,1,0
arousal,ALL,38,MutInf,21,39,45,1,0,1,0,1
arousal,ALL,75,dCorr,17,18,66,2,1,0,1,2
arousal,ALL,112,LR,21,44,44,3,1,0,2,4
arousal,ALL,149,L1,29,43,59,6,1,1,1,0
arousal,ALL,186,L2,24,43,43,3,1,1,2,5
arousal,ALL,223,SVM,23,47,51,7,4,1,2,5
arousal,ALL,260,RF,16,28,75,3,3,4,0,2
arousal,ALL,297,ANOVA,13,28,83,3,3,2,0,3
arousal,ALL,334,LDA,12,33,53,1,1,1,0,0
arousal,EEG,1,pearsonR,14,25,66,0,0,0,0,0
arousal,EEG,38,MutInf,23,34,54,0,0,0,0,0
arousal,EEG,75,dCorr,9,26,72,0,0,0,0,0
arousal,EEG,112,LR,25,40,50,0,0,0,0,0
arousal,EEG,149,L1,28,39,76,0,0,0,0,0
arousal,EEG,186,L2,26,40,49,0,0,0,0,0
arousal,EEG,223,SVM,28,48,59,0,0,0,0,0
arousal,EEG,260,RF,15,37,74,0,0,0,0,0
arousal,EEG,297,ANOVA,16,35,77,0,0,0,0,0
arousal,EEG,334,LDA,23,40,55,0,0,0,0,0
arousal,non-EEG,1,pearsonR,0,0,0,27,27,13,19,23
arousal,non-EEG,38,MutInf,0,0,0,28,22,11,8,15
arousal,non-EEG,75,dCorr,0,0,0,26,22,19,14,22
arousal,non-EEG,112,LR,0,0,0,8,20,29,22,20
arousal,non-EEG,149,L1,0,0,0,22,16,22,13,22
arousal,non-EEG,186,L2,0,0,0,9,17,24,22,26
arousal,non-EEG,223,SVM,0,0,0,26,20,13,16,15
arousal,non-EEG,260,RF,0,0,0,27,16,16,7,18
arousal,non-EEG,297,ANOVA,0,0,0,23,20,14,7,17
arousal,non-EEG,334,LDA,0,0,0,48,19,10,8,10
valence,ALL,1,pearsonR,9,26,60,1,2,3,2,1
valence,ALL,38,MutInf,42,53,54,0,5,4,2,3
valence,ALL,75,dCorr,7,26,65,2,2,1,1,1
valence,ALL,112,LR,25,72,51,5,4,5,5,5
valence,ALL,149,L1,33,42,60,5,4,6,0,2
valence,ALL,186,L2,23,68,49,6,4,6,4,5
valence,ALL,223,SVM,29,65,54,4,5,4,3,5
valence,ALL,260,RF,19,30,60,1,2,4,2,0
valence,ALL,297,ANOVA,16,26,55,1,3,3,2,0
valence,ALL,334,LDA,18,39,60,1,4,2,1,0
valence,EEG,1,pearsonR,14,28,66,0,0,0,0,0
valence,EEG,38,MutInf,32,44,69,0,0,0,0,0
valence,EEG,75,dCorr,8,27,66,0,0,0,0,0
valence,EEG,112,LR,36,72,62,0,0,0,0,0
valence,EEG,149,L1,34,55,79,0,0,0,0,0
valence,EEG,186,L2,34,73,59,0,0,0,0,0
valence,EEG,223,SVM,29,67,67,0,0,0,0,0
valence,EEG,260,RF,16,24,75,0,0,0,0,0
valence,EEG,297,ANOVA,15,29,72,0,0,0,0,0
valence,EEG,334,LDA,20,37,65,0,0,0,0,0
valence,non-EEG,1,pearsonR,0,0,0,25,31,19,27,17
valence,non-EEG,38,MutInf,0,0,0,34,46,36,15,19
valence,non-EEG,75,dCorr,0,0,0,23,32,20,25,19
valence,non-EEG,112,LR,0,0,0,12,35,26,28,36
valence,non-EEG,149,L1,0,0,0,20,23,24,33,32
valence,non-EEG,186,L2,0,0,0,18,38,31,30,31
valence,non-EEG,223,SVM,0,0,0,29,27,26,25,20
valence,non-EEG,260,RF,0,0,0,15,27,26,22,19
valence,non-EEG,297,ANOVA,0,0,0,19,28,22,28,17
valence,non-EEG,334,LDA,0,0,0,52,36,26,11,17
