Metric: 1;
featureCount;featureAdded;train;test;
1;22.0;0.989046153846;0.489047619048;
2;23.0;0.990030769231;0.492976190476;
3;33.0;0.996107692308;0.486547619048;
4;275.0;0.997630769231;0.500833333333;
5;277.0;0.996107692308;0.512738095238;
6;165.0;0.997246153846;0.497142857143;
7;41.0;0.998246153846;0.50119047619;
8;35.0;0.997276923077;0.519880952381;
9;276.0;0.998230769231;0.502619047619;
10;319.0;0.996884615385;0.489642857143;
11;36.0;0.998446153846;0.505119047619;
12;331.0;0.998446153846;0.510476190476;
13;231.0;0.9998;0.535476190476;
14;330.0;0.998238461538;0.510476190476;
15;264.0;0.998038461538;0.525714285714;
16;176.0;0.998638461538;0.537619047619;
17;232.0;0.998053846154;0.522261904762;
18;34.0;0.997646153846;0.534047619048;
19;242.0;0.998815384615;0.545238095238;
20;278.0;0.997653846154;0.523095238095;


Metric: 2;
featureCount;featureAdded;train;test;
1;130.0;0.662453846154;0.535;
2;465.0;0.953784615385;0.528928571429;
3;464.0;0.988046153846;0.507023809524;
4;362.0;0.998061538462;0.521071428571;
5;467.0;0.998638461538;0.51;
6;599.0;0.998246153846;0.524404761905;
7;363.0;0.998646153846;0.5225;
8;353.0;0.998415384615;0.527380952381;
9;559.0;0.998446153846;0.505595238095;
10;196.0;0.998053846154;0.512619047619;
11;144.0;0.998061538462;0.528571428571;
12;469.0;0.999223076923;0.508452380952;
13;558.0;0.999223076923;0.523214285714;
14;350.0;0.998846153846;0.515357142857;
15;355.0;0.999038461538;0.506904761905;
16;466.0;0.999023076923;0.514166666667;
17;262.0;0.997861538462;0.509047619048;
18;166.0;0.999007692308;0.482023809524;
19;361.0;0.999015384615;0.50380952381;
20;556.0;0.998830769231;0.511904761905;


Metric: 3;
featureCount;featureAdded;train;test;
1;464.0;0.9889;0.512857142857;
2;554.0;0.996307692308;0.52380952381;
3;465.0;0.998246153846;0.523333333333;
4;0.0;0.998630769231;0.528095238095;
5;555.0;0.999415384615;0.520357142857;
6;556.0;0.998607692308;0.527738095238;
7;129.0;0.998230769231;0.507857142857;
8;101.0;0.998646153846;0.534880952381;
9;584.0;0.999215384615;0.5325;
10;582.0;0.999407692308;0.547261904762;
11;479.0;0.999607692308;0.51630952381;
12;130.0;0.999807692308;0.50630952381;
13;585.0;1.0;0.52;
14;442.0;0.998646153846;0.527023809524;
15;462.0;0.998046153846;0.522023809524;
16;466.0;0.998446153846;0.531547619048;
17;446.0;0.999023076923;0.510238095238;
18;447.0;0.998061538462;0.527857142857;
19;30.0;0.999615384615;0.53;
20;467.0;0.999023076923;0.540833333333;


Metric: 4;
featureCount;featureAdded;train;test;
1;470.0;0.9871;0.534642857143;
2;207.0;0.972969230769;0.510119047619;
3;390.0;0.995915384615;0.482857142857;
4;4.0;0.998630769231;0.51119047619;
5;41.0;0.999215384615;0.499166666667;
6;345.0;0.998453846154;0.476071428571;
7;3.0;0.998823076923;0.489047619048;
8;9.0;0.999230769231;0.484404761905;
9;164.0;0.999615384615;0.502261904762;
10;306.0;0.999023076923;0.501785714286;
11;241.0;0.999423076923;0.511071428571;
12;350.0;0.999415384615;0.52130952381;
13;349.0;0.999015384615;0.504880952381;
14;335.0;1.0;0.49;
15;391.0;0.999607692308;0.481785714286;
16;395.0;0.999615384615;0.505119047619;
17;133.0;0.999407692308;0.512380952381;
18;60.0;0.999407692308;0.507380952381;
19;472.0;0.999415384615;0.507380952381;
20;268.0;0.999407692308;0.49;


Metric: 5;
featureCount;featureAdded;train;test;
1;129.0;0.989830769231;0.52;
2;41.0;0.995276923077;0.502380952381;
3;349.0;0.996661538462;0.505;
4;4.0;0.998830769231;0.495119047619;
5;295.0;0.997846153846;0.506547619048;
6;9.0;0.998238461538;0.5;
7;207.0;0.998430769231;0.494166666667;
8;334.0;0.999215384615;0.511904761905;
9;262.0;0.999407692308;0.503214285714;
10;241.0;0.999215384615;0.497380952381;
11;1.0;0.999423076923;0.515;
12;328.0;0.9998;0.495595238095;
13;55.0;0.999807692308;0.505952380952;
14;70.0;0.9996;0.499761904762;
15;336.0;0.999230769231;0.504523809524;
16;67.0;1.0;0.507619047619;
17;340.0;0.999607692308;0.525595238095;
18;451.0;0.999015384615;0.497380952381;
19;92.0;0.999;0.489404761905;
20;98.0;0.999607692308;0.510357142857;


Metric: 6;
featureCount;featureAdded;train;test;
1;470.0;0.988253846154;0.534761904762;
2;207.0;0.972530769231;0.519642857143;
3;390.0;0.996092307692;0.48369047619;
4;4.0;0.997830769231;0.49869047619;
5;3.0;0.999215384615;0.500357142857;
6;345.0;0.998815384615;0.480952380952;
7;41.0;0.999215384615;0.489880952381;
8;9.0;0.999215384615;0.499761904762;
9;164.0;0.999223076923;0.475357142857;
10;306.0;0.9998;0.497380952381;
11;241.0;0.999007692308;0.505476190476;
12;350.0;0.999423076923;0.498333333333;
13;335.0;0.9998;0.529166666667;
14;349.0;0.999023076923;0.473928571429;
15;391.0;0.999415384615;0.512738095238;
16;395.0;0.9998;0.474523809524;
17;133.0;0.998646153846;0.519642857143;
18;60.0;0.998830769231;0.510119047619;
19;472.0;0.999215384615;0.5;
20;268.0;0.999607692308;0.524166666667;


Metric: 7;
featureCount;featureAdded;train;test;
1;0.0;0.990615384615;0.539166666667;
2;4.0;0.996692307692;0.524880952381;
3;3.0;0.999023076923;0.496071428571;
4;6.0;0.998630769231;0.527023809524;
5;7.0;0.999215384615;0.530238095238;
6;2.0;0.999023076923;0.533928571429;
7;5.0;1.0;0.52869047619;
8;8.0;0.9998;0.536666666667;
9;9.0;0.999807692308;0.54630952381;
10;1.0;0.999407692308;0.544642857143;
11;291.0;0.999415384615;0.52;
12;272.0;0.999607692308;0.518928571429;
13;349.0;0.999807692308;0.528928571429;
14;174.0;0.999615384615;0.522142857143;
15;130.0;0.9998;0.545238095238;
16;20.0;0.999423076923;0.545238095238;
17;185.0;1.0;0.531428571429;
18;164.0;0.999607692308;0.527976190476;
19;163.0;0.999807692308;0.540238095238;
20;169.0;0.999407692308;0.515952380952;


Metric: 8;
featureCount;featureAdded;train;test;
1;0.0;0.990461538462;0.541785714286;
2;3.0;0.997292307692;0.493571428571;
3;2.0;0.999015384615;0.503095238095;
4;4.0;0.999223076923;0.531785714286;
5;554.0;0.998823076923;0.519404761905;
6;130.0;0.998630769231;0.538214285714;
7;129.0;0.998838461538;0.504404761905;
8;461.0;0.999607692308;0.540714285714;
9;460.0;0.999415384615;0.504047619048;
10;520.0;0.999607692308;0.533571428571;
11;1.0;0.999223076923;0.519761904762;
12;42.0;1.0;0.491785714286;
13;41.0;0.999230769231;0.539642857143;
14;9.0;0.999615384615;0.514642857143;
15;555.0;0.999415384615;0.506785714286;
16;470.0;0.999615384615;0.502738095238;
17;5.0;0.999015384615;0.507380952381;
18;109.0;0.999015384615;0.50119047619;
19;556.0;0.999423076923;0.502142857143;
20;371.0;0.999423076923;0.502857142857;


Metric: 9;
featureCount;featureAdded;train;test;
1;347.0;0.991584615385;0.495119047619;
2;348.0;0.984984615385;0.494285714286;
3;341.0;0.991238461538;0.490238095238;
4;342.0;0.993938461538;0.486904761905;
5;271.0;0.994161538462;0.482738095238;
6;325.0;0.997469230769;0.471785714286;
7;73.0;0.997661538462;0.482738095238;
8;39.0;0.997446153846;0.480595238095;
9;270.0;0.998061538462;0.515;
10;40.0;0.9969;0.494523809524;
11;326.0;0.997638461538;0.509166666667;
12;66.0;0.996869230769;0.519166666667;
13;72.0;0.999215384615;0.519285714286;
14;238.0;0.997453846154;0.531547619048;
15;205.0;0.996453846154;0.510119047619;
16;105.0;0.998615384615;0.532857142857;
17;215.0;0.997853846154;0.515714285714;
18;237.0;0.998023076923;0.49630952381;
19;17.0;0.997276923077;0.519761904762;
20;67.0;0.999023076923;0.518571428571;


