person;channel pairs;acc;tpr;tnr;fpr;fnr;auc
1;16.0;0.775;0.894736842105;0.666666666667;0.368421052632;0.0952380952381;0.780701754386
2;8.0;0.75;0.681818181818;0.833333333333;0.136363636364;0.388888888889;0.757575757576
3;3.0;0.75;0.727272727273;0.777777777778;0.181818181818;0.333333333333;0.752525252525
4;1.0;0.725;0.375;0.958333333333;0.0625;0.416666666667;0.666666666667
5;8.0;0.775;0.875;0.625;0.25;0.1875;0.75
6;1.0;0.775;0.933333333333;0.3;0.233333333333;0.2;0.616666666667
7;1.0;0.75;0.928571428571;0.333333333333;0.285714285714;0.166666666667;0.630952380952
8;13.0;0.875;0.954545454545;0.777777777778;0.181818181818;0.0555555555556;0.866161616162
9;4.0;0.775;0.75;0.8;0.2;0.25;0.775
10;14.0;0.875;0.85;0.9;0.1;0.15;0.875
11;1.0;0.8;0.916666666667;0.625;0.25;0.125;0.770833333333
12;5.0;0.725;0.666666666667;0.789473684211;0.190476190476;0.368421052632;0.728070175439
13;3.0;0.85;0.823529411765;0.869565217391;0.176470588235;0.130434782609;0.846547314578
14;3.0;0.825;0.75;0.9;0.1;0.25;0.825
15;2.0;0.8;0.8;0.8;0.2;0.2;0.8
16;1.0;0.775;0.533333333333;0.92;0.133333333333;0.28;0.726666666667
17;2.0;0.675;0.681818181818;0.666666666667;0.272727272727;0.388888888889;0.674242424242
18;13.0;0.9;0.916666666667;0.875;0.0833333333333;0.125;0.895833333333
19;6.0;0.775;0.826086956522;0.705882352941;0.217391304348;0.235294117647;0.765984654731
20;1.0;0.85;0.913043478261;0.764705882353;0.173913043478;0.117647058824;0.838874680307
21;2.0;0.6;0.666666666667;0.526315789474;0.428571428571;0.368421052632;0.59649122807
22;1.0;0.725;0.611111111111;0.818181818182;0.222222222222;0.318181818182;0.714646464646
23;4.0;0.775;0.846153846154;0.642857142857;0.192307692308;0.285714285714;0.744505494505
24;3.0;0.675;0.555555555556;0.772727272727;0.277777777778;0.363636363636;0.664141414141
25;5.0;0.75;0.631578947368;0.857142857143;0.157894736842;0.333333333333;0.744360902256
26;3.0;0.725;0.846153846154;0.5;0.269230769231;0.285714285714;0.673076923077
27;2.0;0.75;0.933333333333;0.2;0.266666666667;0.2;0.566666666667
28;7.0;0.775;0.84;0.666666666667;0.2;0.266666666667;0.753333333333
29;2.0;0.825;0.869565217391;0.764705882353;0.173913043478;0.176470588235;0.817135549872
30;1.0;0.725;0.925925925926;0.307692307692;0.333333333333;0.153846153846;0.616809116809
31;15.0;0.85;0.826086956522;0.882352941176;0.0869565217391;0.235294117647;0.854219948849
32;2.0;0.825;0.85;0.8;0.2;0.15;0.825

median;3.0;0.775;0.833043478261;0.775252525253;0.2;0.235294117647;0.752929292929;
avg;4.78125;0.775;0.787506897985;0.707098709502;0.206452747806;0.237556680392;0.747302803743;
std;4.52585886186;0.0631219058648;0.137881444056;0.193063996325;0.0810430106364;0.0972895832791;0.0855131362463;
