CVSets: 4.0
person;acc;tp;tn;fp;fn;auc
1;0.55;0.275;0.275;0.225;0.225;0.604761904762
2;0.425;0.225;0.2;0.3;0.275;0.4375
3;0.725;0.4;0.325;0.175;0.1;0.757738095238
4;0.425;0.25;0.175;0.325;0.25;0.454166666667
5;0.5;0.25;0.25;0.25;0.25;0.573660714286
6;0.35;0.2;0.15;0.35;0.3;0.354166666667
7;0.45;0.125;0.325;0.2;0.35;0.455357142857
8;0.725;0.3;0.425;0.125;0.15;0.745238095238
9;0.775;0.375;0.4;0.1;0.125;0.813988095238
10;0.825;0.4;0.425;0.075;0.1;0.804166666667
11;0.6;0.275;0.325;0.175;0.225;0.6
12;0.525;0.225;0.3;0.225;0.25;0.553571428571
13;0.825;0.375;0.45;0.05;0.125;0.841369047619
14;0.725;0.35;0.375;0.125;0.15;0.729166666667
15;0.7;0.375;0.325;0.175;0.125;0.69375
16;0.65;0.325;0.325;0.175;0.175;0.642113095238
17;0.6;0.275;0.325;0.175;0.225;0.688988095238
18;0.725;0.35;0.375;0.125;0.15;0.75
19;0.725;0.375;0.35;0.175;0.1;0.725
20;0.75;0.35;0.4;0.1;0.15;0.75
21;0.475;0.25;0.225;0.275;0.25;0.501488095238
22;0.6;0.325;0.275;0.225;0.175;0.59375
23;0.625;0.35;0.275;0.225;0.15;0.678273809524
24;0.7;0.325;0.375;0.125;0.175;0.708333333333
25;0.45;0.125;0.325;0.2;0.35;0.502232142857
26;0.45;0.2;0.25;0.25;0.3;0.496130952381
27;0.525;0.3;0.225;0.275;0.2;0.555952380952
28;0.575;0.25;0.325;0.175;0.25;0.575
29;0.675;0.3;0.375;0.125;0.2;0.666666666667
30;0.625;0.275;0.35;0.175;0.2;0.645833333333
31;0.675;0.3;0.375;0.125;0.2;0.714880952381
32;0.725;0.325;0.4;0.1;0.175;0.72619047619
