person;acc;tp;tn;fp;fn;auc
1;0.7;0.65;0.75;0.25;0.35;0.7
2;0.675;0.65;0.7;0.3;0.35;0.675
3;0.575;0.45;0.7;0.3;0.55;0.575
4;0.625;0.7;0.55;0.45;0.3;0.625
5;0.6;0.7;0.5;0.5;0.3;0.6
6;0.625;0.55;0.7;0.3;0.45;0.625
7;0.55;0.526315789474;0.571428571429;0.473684210526;0.428571428571;0.548872180451
8;0.625;0.5;0.727272727273;0.333333333333;0.409090909091;0.613636363636
9;0.75;0.7;0.8;0.2;0.3;0.75
10;0.75;0.65;0.85;0.15;0.35;0.75
11;0.65;0.8;0.5;0.5;0.2;0.65
12;0.6;0.368421052632;0.809523809524;0.210526315789;0.571428571429;0.588972431078
13;0.75;0.8;0.7;0.3;0.2;0.75
14;0.725;0.8;0.65;0.35;0.2;0.725
15;0.775;0.7;0.85;0.15;0.3;0.775
16;0.65;0.6;0.7;0.3;0.4;0.65
17;0.65;0.65;0.65;0.35;0.35;0.65
18;0.775;0.75;0.8;0.2;0.25;0.775
19;0.65;0.631578947368;0.666666666667;0.368421052632;0.333333333333;0.649122807018
20;0.75;0.85;0.65;0.35;0.15;0.75
21;0.575;0.7;0.45;0.55;0.3;0.575
22;0.675;0.6;0.75;0.25;0.4;0.675
23;0.6;0.65;0.55;0.45;0.35;0.6
24;0.6;0.6;0.6;0.4;0.4;0.6
25;0.55;0.421052631579;0.666666666667;0.368421052632;0.52380952381;0.543859649123
26;0.525;0.6;0.45;0.55;0.4;0.525
27;0.65;0.55;0.75;0.25;0.45;0.65
28;0.55;0.6;0.5;0.5;0.4;0.55
29;0.775;0.8;0.75;0.25;0.2;0.775
30;0.675;0.631578947368;0.714285714286;0.315789473684;0.333333333333;0.672932330827
31;0.575;0.45;0.7;0.3;0.55;0.575
32;0.75;0.75;0.75;0.25;0.25;0.75

median;0.65;0.65;0.7;0.307894736842;0.35;0.65;
avg;0.6546875;0.636842105263;0.67049512987;0.336567982456;0.353111471861;0.653668617567;
std;0.0751138458858;0.117212399248;0.110232564812;0.110553167317;0.106675811906;0.075856622424;
