person;acc;tp;tn;fp;fn;auc
1;0.65;0.684210526316;0.619047619048;0.421052631579;0.285714285714;0.651629072682
2;0.675;0.681818181818;0.666666666667;0.272727272727;0.388888888889;0.674242424242
3;0.6;0.727272727273;0.444444444444;0.454545454545;0.333333333333;0.585858585859
4;0.725;0.375;0.958333333333;0.0625;0.416666666667;0.666666666667
5;0.725;0.958333333333;0.375;0.416666666667;0.0625;0.666666666667
6;0.775;0.933333333333;0.3;0.233333333333;0.2;0.616666666667
7;0.75;0.928571428571;0.333333333333;0.285714285714;0.166666666667;0.630952380952
8;0.7;0.681818181818;0.722222222222;0.227272727273;0.388888888889;0.70202020202
9;0.75;0.7;0.8;0.2;0.3;0.75
10;0.75;0.65;0.85;0.15;0.35;0.75
11;0.8;0.916666666667;0.625;0.25;0.125;0.770833333333
12;0.625;0.571428571429;0.684210526316;0.285714285714;0.473684210526;0.627819548872
13;0.8;0.823529411765;0.782608695652;0.294117647059;0.130434782609;0.803069053708
14;0.725;0.8;0.65;0.35;0.2;0.725
15;0.775;0.7;0.85;0.15;0.3;0.775
16;0.775;0.533333333333;0.92;0.133333333333;0.28;0.726666666667
17;0.625;0.818181818182;0.388888888889;0.5;0.222222222222;0.603535353535
18;0.825;0.916666666667;0.6875;0.208333333333;0.125;0.802083333333
19;0.65;0.652173913043;0.647058823529;0.260869565217;0.470588235294;0.649616368286
20;0.85;0.913043478261;0.764705882353;0.173913043478;0.117647058824;0.838874680307
21;0.575;0.761904761905;0.368421052632;0.571428571429;0.263157894737;0.565162907268
22;0.725;0.611111111111;0.818181818182;0.222222222222;0.318181818182;0.714646464646
23;0.725;0.846153846154;0.5;0.269230769231;0.285714285714;0.673076923077
24;0.6;0.444444444444;0.727272727273;0.333333333333;0.454545454545;0.585858585859
25;0.575;0.421052631579;0.714285714286;0.315789473684;0.52380952381;0.567669172932
26;0.675;0.884615384615;0.285714285714;0.384615384615;0.214285714286;0.585164835165
27;0.725;0.966666666667;0.0;0.333333333333;0.1;0.483333333333
28;0.625;0.84;0.266666666667;0.44;0.266666666667;0.553333333333
29;0.8;0.869565217391;0.705882352941;0.217391304348;0.176470588235;0.787723785166
30;0.725;0.925925925926;0.307692307692;0.333333333333;0.153846153846;0.616809116809
31;0.625;0.652173913043;0.588235294118;0.304347826087;0.470588235294;0.620204603581
32;0.75;0.75;0.75;0.25;0.25;0.75

median;0.725;0.755952380952;0.658333333333;0.279220779221;0.273333333333;0.666666666667;
avg;0.70859375;0.748093608583;0.596917895478;0.290784972862;0.275453174217;0.67250575203;
std;0.0743748358717;0.160066226395;0.224024175842;0.110499307088;0.123699239483;0.0856827418076;
