featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
avg GSR;phy;AVG;n/a;n/a;0.108012704548;0.0170256550491;0.0365735481189;0.0170073254579;0.301056952249;0.00423749202852;
std GSR;phy;STD;n/a;n/a;0.0307600274946;0.00150063228062;0.00248700659363;0.00165571804742;0.135101193328;0.00284258878338;
avg Respiration belt;phy;AVG;n/a;n/a;0.0182609863884;0.00037880094629;0.00856066674535;0.000422925873358;0.186161209324;0.00327504940325;
std Respiration belt;phy;STD;n/a;n/a;0.0290722021684;0.00465937979903;0.00060348789219;0.00467827116907;0.235074506607;0.00291745814097;
avg Plethysmograph;phy;AVG;n/a;n/a;0.0250000446195;0.00309864554734;0.00185636635132;0.00311131529624;0.289853361435;0.0031778865006;
std Plethysmograph;phy;STD;n/a;n/a;0.00505959320555;0.0013384741766;0.00236189803469;0.00153666712018;0.174274671577;0.00261927949624;
avg Temperature;phy;AVG;n/a;n/a;0.0316407564899;0.0035007882665;0.00362151984265;0.00345835870112;0.216235823227;0.00240896507139;
std Temperature;phy;STD;n/a;n/a;0.0323132273834;0.00141953284101;0.00421247584405;0.00148123121608;0.202337134992;0.00232751146918;
avg HR;phy;AVG HR;n/a;n/a;0.00151254235622;0.000746404701507;0.00543775007557;0.000739339065732;0.16673663906;0.00230349108295;
std HR;phy;STD HR;n/a;n/a;0.00534421226304;0.00296053867178;0.00103275054351;0.0030087982904;0.156056645759;0.00252825256113;
A/B Fp1;eeg;AB;Fp1;alpha & beta;0.0544418058371;0.000936946649043;0.00445424138972;0.00105256525961;0.050165074507;0.00192371795186;
DE Fp1(beta);eeg;DE;Fp1;beta;0.0549932220105;0.000812409664377;0.0;0.000889521763128;0.00925074249721;0.00102068921645;
PSD Fp1(beta);eeg;PSD;Fp1;beta;0.0578366457548;0.00149739315927;0.0;0.00152168397649;0.0085099923571;0.00118010870238;
DE Fp1(delta);eeg;DE;Fp1;delta;0.0549932220105;0.000899747512053;0.0;0.000889521763128;0.00925074249721;0.00104198115406;
PSD Fp1(delta);eeg;PSD;Fp1;delta;0.0838568592945;0.00172138852065;0.000334666204158;0.00176725477398;0.011567397098;0.00156842098764;
DE Fp1(theta);eeg;DE;Fp1;theta;0.0806067243245;0.00117563560338;0.00363101647019;0.00112752433007;0.0103975738774;0.00161438208011;
PSD Fp1(theta);eeg;PSD;Fp1;theta;0.0319158748694;0.00582292133595;0.00423443774711;0.00582040067849;0.107418551844;0.00167036258125;
DE Fp1(gamma);eeg;DE;Fp1;gamma;0.0158180496718;0.00334013797639;0.00104201753948;0.00334825282804;0.188551941953;0.00169013310872;
PSD Fp1(gamma);eeg;PSD;Fp1;gamma;0.0637847831084;0.00139418487352;0.0;0.00139368173012;0.00734359922564;0.00108972407532;
DE Fp1(alpha);eeg;DE;Fp1;alpha;0.0615001296269;0.000745065953627;0.0;0.000721074425138;0.00755561509188;0.00113756834776;
PSD Fp1(alpha);eeg;PSD;Fp1;alpha;0.0580400901022;0.000456786951859;0.0010019923774;0.000412133902144;0.0240692228169;0.00153081208464;
A/B AF3;eeg;AB;AF3;alpha & beta;0.0578028890361;0.00106814880961;0.00252294830277;0.00101691065435;0.0570366827275;0.00156606903297;
DE AF3(beta);eeg;DE;AF3;beta;0.0491151662636;0.00102365075454;0.0;0.00107453920721;0.018549517529;0.00172767857499;
PSD AF3(beta);eeg;PSD;AF3;beta;0.0705299103394;0.00192887040208;0.0;0.00196354316844;0.0107271708344;0.000973898110237;
DE AF3(delta);eeg;DE;AF3;delta;0.0774134832231;0.000952015114333;0.0;0.000988931925767;0.0143585999773;0.000866708968845;
PSD AF3(delta);eeg;PSD;AF3;delta;0.0705299103394;0.00190086616321;0.0;0.00196354316844;0.0107271708344;0.000899204686327;
DE AF3(theta);eeg;DE;AF3;theta;0.103902035795;0.000178990590136;0.0;0.000174356084888;0.0047760485314;0.00126762254346;
PSD AF3(theta);eeg;PSD;AF3;theta;0.0984159741337;0.000492312615362;0.0;0.000515326330069;0.00580693243774;0.00122534719282;
DE AF3(gamma);eeg;DE;AF3;gamma;0.0154303617791;0.00147565914197;0.000185367383447;0.00149793756748;0.103046778596;0.00214460764411;
PSD AF3(gamma);eeg;PSD;AF3;gamma;0.00482102525131;0.00557119850976;0.0017288218788;0.00553568902719;0.106614201098;0.00231414435528;
DE AF3(alpha);eeg;DE;AF3;alpha;0.0867234634027;0.000208802928054;0.0;0.000186999472778;0.00513887660983;0.000958640158394;
PSD AF3(alpha);eeg;PSD;AF3;alpha;0.0802290903114;0.00121383080209;0.0;0.00118007876323;0.00409422024264;0.000856840434494;
A/B F3;eeg;AB;F3;alpha & beta;0.0701104904792;0.00557154301785;0.00708560553803;0.00548452601141;0.0841778192374;0.00149551796793;
DE F3(beta);eeg;DE;F3;beta;0.0901965266909;0.000464342530404;0.000643771786023;0.000493789827856;0.0182493790825;0.0015079547965;
PSD F3(beta);eeg;PSD;F3;beta;0.0249613515552;0.0011359066302;0.00015525901668;0.00113537987132;0.0294890966307;0.00178093883206;
DE F3(delta);eeg;DE;F3;delta;0.0926154155117;0.000611015116345;0.0;0.000618761469712;0.0053897928607;0.00154341552832;
PSD F3(delta);eeg;PSD;F3;delta;0.0993808149853;0.00127364747222;0.0;0.00126430857477;0.00478310139504;0.00152197704858;
DE F3(theta);eeg;DE;F3;theta;0.0926154155117;0.000646563722952;0.0;0.000618761469712;0.0053897928607;0.00155579059168;
PSD F3(theta);eeg;PSD;F3;theta;0.115154908009;0.00163152846904;0.00250939908439;0.00163954562564;0.0121642595148;0.00168248175673;
DE F3(gamma);eeg;DE;F3;gamma;0.109041267208;0.000342353043107;0.00127284414232;0.000360967109784;0.0119948104454;0.00169162034511;
PSD F3(gamma);eeg;PSD;F3;gamma;0.0549098315511;0.00406368202942;0.00301694585703;0.00407153349088;0.0985039484658;0.00239161722871;
