featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
avg GSR;phy;AVG;n/a;n/a;0.214081955183;0.027593938489;0.0450382393284;0.0276283500644;0.300478721618;0.00463236019773;0.0121065738044;
std GSR;phy;STD;n/a;n/a;0.14722411026;0.0176302890997;0.00848153042978;0.017681840963;0.134327352106;0.00287926855201;0.0100034082056;
avg Respiration belt;phy;AVG;n/a;n/a;0.138174883139;0.0256867470983;0.028458930099;0.0257165823272;0.184401493694;0.00332211550723;0.0089378064244;
std Respiration belt;phy;STD;n/a;n/a;0.147440324985;0.0261318893875;0.0219000562523;0.0260949247838;0.241271953115;0.00317364808355;0.0132876024234;
avg Plethysmograph;phy;AVG;n/a;n/a;0.161028712319;0.0311378463259;0.0356898260623;0.0310221150936;0.288780387555;0.00341854331267;0.0108679076618;
std Plethysmograph;phy;STD;n/a;n/a;0.109248720627;0.0240759397684;0.0156258654005;0.024039084301;0.173359512995;0.00273187650914;0.0102723607553;
avg Temperature;phy;AVG;n/a;n/a;0.141756843616;0.0255130167005;0.0204205794309;0.0255442713439;0.21765255115;0.00255664868159;0.00875715675802;
std Temperature;phy;STD;n/a;n/a;0.12616498756;0.0252705907254;0.0273189710296;0.0253107003409;0.204907869539;0.00215968602144;0.0101075352721;
avg HR;phy;AVG HR;n/a;n/a;0.139446524818;0.0235881336148;0.0209061671517;0.0236037580679;0.16577356012;0.00233388403637;0.013305968446;
std HR;phy;STD HR;n/a;n/a;0.155088323251;0.0239597471217;0.0185246853312;0.0240142654217;0.154818748144;0.00271397527644;0.00920543761121;
A/B Fp1;eeg;AB;Fp1;alpha & beta;0.166798913345;0.00980892147784;0.00726475728;0.0098891199492;0.0523119512162;0.00206231532247;0.0267913414013;
DE Fp1(beta);eeg;DE;Fp1;beta;0.153474428578;0.00523096444304;0.0;0.00523348752521;0.0119713085642;0.00127518088255;0.0407917991248;
