featname;eeg/phy;what;channels;waveband;pearson_r;mi;lr coef;l1 coef;l2 coef;svm coef;rf importances;PCA
avg GSR;phy;AVG;n/a;n/a;0.0737788882025;0.0246525427446;0.0369516425773;0.10261856367;0.0364551896151;0.300478721618;0.00437055585597;0.00186269064301;
std GSR;phy;STD;n/a;n/a;0.0191541004365;0.0221118294327;0.00671802916519;0.0341696007142;0.00685019509785;0.134327352106;0.00283308975928;0.00443134301357;
avg Respiration belt;phy;AVG;n/a;n/a;0.0343224684674;0.0171662565154;0.00170873016177;0.00542857569603;0.00194658291742;0.184401493694;0.00343536208843;0.00280733283377;
std Respiration belt;phy;STD;n/a;n/a;0.0510732313228;0.016485368157;0.022964144425;0.0148979927934;0.0232454925198;0.241271953115;0.00348319352295;0.00406102111529;
avg Plethysmograph;phy;AVG;n/a;n/a;0.0168592696882;0.0164335864997;0.0244813026929;0.0649976211414;0.0240539437318;0.288780387555;0.00308638693674;0.00114313840659;
std Plethysmograph;phy;STD;n/a;n/a;0.000112912656095;0.0162799420503;0.00302273467066;0.0159000119163;0.00307333435482;0.173359512995;0.00269148151479;0.00375919843432;
avg Temperature;phy;AVG;n/a;n/a;0.0424938629878;0.0104112383349;0.0133956567521;0.00133915455997;0.0137058524586;0.21765255115;0.00254814229658;0.000882835048899;
std Temperature;phy;STD;n/a;n/a;0.0342124334588;0.00918972685287;0.00412310449206;0.0160002200793;0.00393488900477;0.204907869539;0.00222428453549;0.00363217250268;
avg HR;phy;AVG HR;n/a;n/a;0.00941795894393;0.0236595315619;0.00628701469951;0.0139254666978;0.006400453816;0.16577356012;0.00242443021425;0.00178952476471;
std HR;phy;STD HR;n/a;n/a;0.0054809483034;0.0139519257262;0.0226914063831;0.0458881451119;0.0227353045336;0.154818748144;0.00259336615226;0.000369581561891;
A/B Fp1;eeg;AB;Fp1;alpha & beta;0.0488333412425;0.0192543094621;0.00131549834173;0.0166877490774;0.00163243906528;0.0523119512162;0.00192330250024;0.0123473113173;
DE Fp1(theta);eeg;DE;Fp1;theta;0.0855201571585;0.0188799325226;0.00348027865883;0.00256753114058;0.00344477396551;0.0119252349608;0.00122752755301;0.0239592849529;
PSD Fp1(theta);eeg;PSD;Fp1;theta;0.0716694924165;0.0184240382927;0.0096406491695;0.0103289324786;0.00944172693722;0.0349028300855;0.00120345514519;0.0232255267017;
DE Fp1(beta);eeg;DE;Fp1;beta;0.0382394260519;0.0160410219049;0.00271663201282;0.0130736699015;0.0026398295022;0.0433804752256;0.00168279656652;0.0222246110292;
PSD Fp1(beta);eeg;PSD;Fp1;beta;0.0322960307987;0.0164098696386;0.0125971231066;0.0181959620102;0.0128121103962;0.0567782376175;0.00150578635737;0.0216298821633;
DE Fp1(alpha);eeg;DE;Fp1;alpha;0.0571895745645;0.0149630956391;0.00893723184503;0.0;0.00891075466337;0.014694691005;0.00140431081111;0.0240769578155;
PSD Fp1(alpha);eeg;PSD;Fp1;alpha;0.0783684199314;0.0180853480275;0.00909385402167;0.00940909576761;0.00904154658576;0.054901257076;0.00127111059692;0.0233385493907;
DE Fp1(gamma);eeg;DE;Fp1;gamma;0.0513025621446;0.0160462758648;0.00393086988056;0.00600251898655;0.00394527048475;0.0383042323472;0.00126164595321;0.0302636034967;
